mag,place,time,updated,tz,url,detail,felt,cdi,mmi,alert,status,tsunami,sig,net,code,ids,sources,types,nst,dmin,rms,gap,magType,type,title
2.0,"79 km W of Salamatof, Alaska",1726591251008,1726598295040,,https://earthquake.usgs.gov/earthquakes/eventpage/ak024bzx1749,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak024bzx1749&format=geojson,,,,,automatic,0,62,ak,024bzx1749,",us6000nsrh,ak024bzx1749,",",us,ak,",",origin,phase-data,",,,0.48,,ml,earthquake,"M 2.0 - 79 km W of Salamatof, Alaska"
2.57,"10 km SSW of Fern Forest, Hawaii",1726590684850,1726604705890,,https://earthquake.usgs.gov/earthquakes/eventpage/hv74467802,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=hv74467802&format=geojson,,,,,reviewed,0,102,hv,74467802,",us6000nsrg,hv74467802,",",us,hv,",",origin,phase-data,",45.0,0.01147,0.13,90.0,ml,earthquake,"M 2.6 - 10 km SSW of Fern Forest, Hawaii"
0.15,"24 km W of Sitka, Alaska",1726590030590,1726689739260,,https://earthquake.usgs.gov/earthquakes/eventpage/av93269638,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=av93269638&format=geojson,,,,,reviewed,0,0,av,93269638,",av93269638,",",av,",",origin,phase-data,",4.0,0.0144,0.2,115.0,ml,earthquake,"M 0.2 - 24 km W of Sitka, Alaska"
1.07,"5 km SE of Cholame, CA",1726589679720,1726704540151,,https://earthquake.usgs.gov/earthquakes/eventpage/nc75063091,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc75063091&format=geojson,,,,,reviewed,0,18,nc,75063091,",nc75063091,",",nc,",",nearby-cities,origin,phase-data,scitech-link,",18.0,0.03341,0.13,114.0,md,earthquake,"M 1.1 - 5 km SE of Cholame, CA"
1.05,"7 km NW of Prague, Oklahoma",1726588973840,1726667865795,,https://earthquake.usgs.gov/earthquakes/eventpage/ok2024sigo,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ok2024sigo&format=geojson,,,,,reviewed,0,17,ok,2024sigo,",ok2024sigo,",",ok,",",origin,phase-data,",32.0,0.003599293696,0.22,50.0,ml,earthquake,"M 1.1 - 7 km NW of Prague, Oklahoma"
0.77,"3 km NNW of The Geysers, CA",1726588308520,1726588405048,,https://earthquake.usgs.gov/earthquakes/eventpage/nc75063081,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc75063081&format=geojson,,,,,automatic,0,9,nc,75063081,",nc75063081,",",nc,",",nearby-cities,origin,phase-data,",19.0,0.007483,0.02,75.0,md,earthquake,"M 0.8 - 3 km NNW of The Geysers, CA"
0.78,"1 km NNW of The Geysers, CA",1726588243000,1726588340090,,https://earthquake.usgs.gov/earthquakes/eventpage/nc75063076,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc75063076&format=geojson,,,,,automatic,0,9,nc,75063076,",nc75063076,",",nc,",",nearby-cities,origin,phase-data,",9.0,0.01676,0.04,98.0,md,earthquake,"M 0.8 - 1 km NNW of The Geysers, CA"
0.03,"86 km NNW of Karluk, Alaska",1726588109620,1726688145870,,https://earthquake.usgs.gov/earthquakes/eventpage/av93021404,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=av93021404&format=geojson,,,,,reviewed,0,0,av,93021404,",av93021404,",",av,",",origin,phase-data,",6.0,0.03596,0.18,140.0,ml,earthquake,"M 0.0 - 86 km NNW of Karluk, Alaska"
0.65,"22 km WNW of Searles Valley, CA",1726587627440,1726593772293,,https://earthquake.usgs.gov/earthquakes/eventpage/ci40735911,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci40735911&format=geojson,,,,,reviewed,0,6,ci,40735911,",ci40735911,",",ci,",",nearby-cities,origin,phase-data,scitech-link,",19.0,0.1024,0.18,72.0,ml,earthquake,"M 0.7 - 22 km WNW of Searles Valley, CA"
0.34,"27 km W of Sitka, Alaska",1726587574100,1726687828400,,https://earthquake.usgs.gov/earthquakes/eventpage/av93269598,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=av93269598&format=geojson,,,,,reviewed,0,2,av,93269598,",av93269598,",",av,",",origin,phase-data,",4.0,0.008738,0.18,207.0,ml,earthquake,"M 0.3 - 27 km W of Sitka, Alaska"
1.14,"8 km NNW of The Geysers, CA",1726587553900,1726587650079,,https://earthquake.usgs.gov/earthquakes/eventpage/nc75063071,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc75063071&format=geojson,,,,,automatic,0,20,nc,75063071,",nc75063071,",",nc,",",nearby-cities,origin,phase-data,",20.0,0.01003,0.04,53.0,md,earthquake,"M 1.1 - 8 km NNW of The Geysers, CA"
2.04,"1 km SSW of Pāhala, Hawaii",1726586554240,1726586726870,,https://earthquake.usgs.gov/earthquakes/eventpage/hv74467732,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=hv74467732&format=geojson,,,,,automatic,0,64,hv,74467732,",hv74467732,",",hv,",",origin,phase-data,",44.0,0.04222,0.150000006,74.0,ml,earthquake,"M 2.0 - 1 km SSW of Pāhala, Hawaii"
2.27,"0 km ENE of Parcelas La Milagrosa, Puerto Rico",1726586187070,1726590286950,,https://earthquake.usgs.gov/earthquakes/eventpage/pr71460423,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=pr71460423&format=geojson,,,,,reviewed,0,79,pr,71460423,",pr71460423,",",pr,",",origin,phase-data,",6.0,0.07057,0.12,83.0,md,earthquake,"M 2.3 - 0 km ENE of Parcelas La Milagrosa, Puerto Rico"
1.0,"37 km NE of Chase, Alaska",1726585709672,1726585838032,,https://earthquake.usgs.gov/earthquakes/eventpage/ak024bzw8uzb,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak024bzw8uzb&format=geojson,,,,,automatic,0,15,ak,024bzw8uzb,",ak024bzw8uzb,",",ak,",",origin,phase-data,",,,0.23,,ml,earthquake,"M 1.0 - 37 km NE of Chase, Alaska"
1.4,"26 km S of Funny River, Alaska",1726585559469,1726585680247,,https://earthquake.usgs.gov/earthquakes/eventpage/ak024bzw8a4q,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak024bzw8a4q&format=geojson,,,,,automatic,0,30,ak,024bzw8a4q,",ak024bzw8a4q,",",ak,",",origin,phase-data,",,,0.51,,ml,earthquake,"M 1.4 - 26 km S of Funny River, Alaska"
0.68,"29 km W of Sitka, Alaska",1726584981450,1726687591100,,https://earthquake.usgs.gov/earthquakes/eventpage/av93021399,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=av93021399&format=geojson,,,,,reviewed,0,7,av,93021399,",av93021399,",",av,",",origin,phase-data,",4.0,0.01457,0.07,274.0,ml,earthquake,"M 0.7 - 29 km W of Sitka, Alaska"
0.4,"27 km W of Sitka, Alaska",1726584699300,1726686708530,,https://earthquake.usgs.gov/earthquakes/eventpage/av93021389,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=av93021389&format=geojson,,,,,reviewed,0,2,av,93021389,",av93021389,",",av,",",origin,phase-data,",4.0,0.002509,0.08,238.0,ml,earthquake,"M 0.4 - 27 km W of Sitka, Alaska"
-0.01,"27 km W of Sitka, Alaska",1726584668270,1726686240140,,https://earthquake.usgs.gov/earthquakes/eventpage/av93269528,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=av93269528&format=geojson,,,,,reviewed,0,0,av,93269528,",av93269528,",",av,",",origin,phase-data,",4.0,0.0178,0.05,271.0,ml,earthquake,"M 0.0 - 27 km W of Sitka, Alaska"
0.4,"30 km W of Sitka, Alaska",1726583913840,1726684631820,,https://earthquake.usgs.gov/earthquakes/eventpage/av93269493,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=av93269493&format=geojson,,,,,reviewed,0,2,av,93269493,",av93269493,",",av,",",origin,phase-data,",4.0,0.02655,0.18,298.0,ml,earthquake,"M 0.4 - 30 km W of Sitka, Alaska"
-0.18,"27 km W of Sitka, Alaska",1726583305970,1726684394430,,https://earthquake.usgs.gov/earthquakes/eventpage/av93269478,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=av93269478&format=geojson,,,,,reviewed,0,0,av,93269478,",av93269478,",",av,",",origin,phase-data,",4.0,0.001351,0.1,201.0,ml,earthquake,"M -0.2 - 27 km W of Sitka, Alaska"
4.7,"18 km NNE of Khorugh, Tajikistan",1726583285887,1726588836040,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000neha,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us7000neha&format=geojson,,,,,reviewed,0,340,us,7000neha,",us7000neha,",",us,",",origin,phase-data,",196.0,1.841,0.72,41.0,mb,earthquake,"M 4.7 - 18 km NNE of Khorugh, Tajikistan"
0.55,"28 km W of Sitka, Alaska",1726583078570,1726684166470,,https://earthquake.usgs.gov/earthquakes/eventpage/av93021374,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=av93021374&format=geojson,,,,,reviewed,0,5,av,93021374,",av93021374,",",av,",",origin,phase-data,",4.0,0.01284,0.07,279.0,ml,earthquake,"M 0.6 - 28 km W of Sitka, Alaska"
4.9,"64 km NW of Aitape, Papua New Guinea",1726582996325,1726594349040,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000neh9,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us7000neh9&format=geojson,,,,,reviewed,0,369,us,7000neh9,",us7000neh9,",",us,",",origin,phase-data,",43.0,1.24,0.62,53.0,mb,earthquake,"M 4.9 - 64 km NW of Aitape, Papua New Guinea"
-0.01,"29 km W of Sitka, Alaska",1726582495330,1726683930240,,https://earthquake.usgs.gov/earthquakes/eventpage/av93269468,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=av93269468&format=geojson,,,,,reviewed,0,0,av,93269468,",av93269468,",",av,",",origin,phase-data,",4.0,0.01948,0.05,276.0,ml,earthquake,"M 0.0 - 29 km W of Sitka, Alaska"
0.06,"30 km W of Sitka, Alaska",1726582314740,1726683789380,,https://earthquake.usgs.gov/earthquakes/eventpage/av93269458,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=av93269458&format=geojson,,,,,reviewed,0,0,av,93269458,",av93269458,",",av,",",origin,phase-data,",4.0,0.03115,0.08,301.0,ml,earthquake,"M 0.1 - 30 km W of Sitka, Alaska"
0.11,"32 km W of Sitka, Alaska",1726582151740,1726687518670,,https://earthquake.usgs.gov/earthquakes/eventpage/av93269453,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=av93269453&format=geojson,,,,,reviewed,0,0,av,93269453,",av93269453,",",av,",",origin,phase-data,",4.0,0.04494,0.25,316.0,ml,earthquake,"M 0.1 - 32 km W of Sitka, Alaska"
0.01,"30 km W of Sitka, Alaska",1726582014830,1726683647720,,https://earthquake.usgs.gov/earthquakes/eventpage/av93021369,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=av93021369&format=geojson,,,,,reviewed,0,0,av,93021369,",av93021369,",",av,",",origin,phase-data,",4.0,0.02794,0.08,299.0,ml,earthquake,"M 0.0 - 30 km W of Sitka, Alaska"
0.06,"32 km W of Sitka, Alaska",1726581613310,1726683049580,,https://earthquake.usgs.gov/earthquakes/eventpage/av93269433,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=av93269433&format=geojson,,,,,reviewed,0,0,av,93269433,",av93269433,",",av,",",origin,phase-data,",4.0,0.04054,0.1,312.0,ml,earthquake,"M 0.1 - 32 km W of Sitka, Alaska"
0.52,"54 km W of Hebgen Lake Estates, Montana",1726580873860,1726604501970,,https://earthquake.usgs.gov/earthquakes/eventpage/mb90061688,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=mb90061688&format=geojson,,,,,reviewed,0,4,mb,90061688,",mb90061688,",",mb,",",origin,phase-data,",6.0,0.1662,0.06,157.0,ml,earthquake,"M 0.5 - 54 km W of Hebgen Lake Estates, Montana"
2.02,"4 km WSW of Imperial, CA",1726580264560,1726596652046,,https://earthquake.usgs.gov/earthquakes/eventpage/ci40735831,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci40735831&format=geojson,,,,,reviewed,0,63,ci,40735831,",ci40735831,",",ci,",",nearby-cities,origin,phase-data,scitech-link,",39.0,0.067,0.27,58.0,ml,earthquake,"M 2.0 - 4 km WSW of Imperial, CA"
0.31,"32 km W of Sitka, Alaska",1726580202540,1726705448890,,https://earthquake.usgs.gov/earthquakes/eventpage/av93269393,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=av93269393&format=geojson,,,,,reviewed,0,1,av,93269393,",av93269393,",",av,",",origin,phase-data,",4.0,0.06347,0.19,320.0,ml,earthquake,"M 0.3 - 32 km W of Sitka, Alaska"
1.8,"55 km ESE of Pedro Bay, Alaska",1726579941254,1726595641040,,https://earthquake.usgs.gov/earthquakes/eventpage/ak024bzv74b1,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak024bzv74b1&format=geojson,,,,,automatic,0,50,ak,024bzv74b1,",us7000neh7,ak024bzv74b1,",",us,ak,",",origin,phase-data,",,,0.13,,ml,earthquake,"M 1.8 - 55 km ESE of Pedro Bay, Alaska"
0.0,"54 km NW of Indian Springs, Nevada",1726579794162,1726607259493,,https://earthquake.usgs.gov/earthquakes/eventpage/nn00884782,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nn00884782&format=geojson,,,,,reviewed,0,0,nn,00884782,",nn00884782,",",nn,",",origin,phase-data,",21.0,0.045,0.1155,107.35,ml,earthquake,"M 0.0 - 54 km NW of Indian Springs, Nevada"
0.34,"33 km W of Sitka, Alaska",1726579753750,1726682470590,,https://earthquake.usgs.gov/earthquakes/eventpage/av93021359,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=av93021359&format=geojson,,,,,reviewed,0,2,av,93021359,",av93021359,",",av,",",origin,phase-data,",4.0,0.05561,0.17,323.0,ml,earthquake,"M 0.3 - 33 km W of Sitka, Alaska"
1.7,"52 km SSE of Whites City, New Mexico",1726579230177,1726582096827,,https://earthquake.usgs.gov/earthquakes/eventpage/tx2024sibf,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=tx2024sibf&format=geojson,,,,,reviewed,0,44,tx,2024sibf,",tx2024sibf,",",tx,",",origin,phase-data,",26.0,0.0,0.1,68.0,ml,earthquake,"M 1.7 - 52 km SSE of Whites City, New Mexico"
1.77,"8 km SSW of Fern Forest, Hawaii",1726579135490,1726579308370,,https://earthquake.usgs.gov/earthquakes/eventpage/hv74467642,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=hv74467642&format=geojson,,,,,automatic,0,48,hv,74467642,",hv74467642,",",hv,",",origin,phase-data,",35.0,0.0114,0.289999992,92.0,ml,earthquake,"M 1.8 - 8 km SSW of Fern Forest, Hawaii"
1.65,"4 km NW of Stanley, Idaho",1726578323360,1726604054010,,https://earthquake.usgs.gov/earthquakes/eventpage/mb90061678,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=mb90061678&format=geojson,,,,,reviewed,0,42,mb,90061678,",mb90061678,",",mb,",",origin,phase-data,",12.0,0.17,0.14,73.0,ml,earthquake,"M 1.7 - 4 km NW of Stanley, Idaho"
1.93,"10 km SSW of Fern Forest, Hawaii",1726578212940,1726591475730,,https://earthquake.usgs.gov/earthquakes/eventpage/hv74467617,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=hv74467617&format=geojson,,,,,reviewed,0,57,hv,74467617,",hv74467617,",",hv,",",origin,phase-data,",33.0,0.008188,0.11,112.0,ml,earthquake,"M 1.9 - 10 km SSW of Fern Forest, Hawaii"
0.28,"56 km SSW of Skwentna, Alaska",1726578136970,1726682818360,,https://earthquake.usgs.gov/earthquakes/eventpage/av93021364,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=av93021364&format=geojson,,,,,reviewed,0,1,av,93021364,",av93021364,",",av,",",origin,phase-data,",9.0,0.04624,0.19,259.0,ml,earthquake,"M 0.3 - 56 km SSW of Skwentna, Alaska"
0.93,"23 km SW of Ocotillo Wells, CA",1726578030750,1726582020389,,https://earthquake.usgs.gov/earthquakes/eventpage/ci40735815,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci40735815&format=geojson,,,,,reviewed,0,13,ci,40735815,",ci40735815,",",ci,",",nearby-cities,origin,phase-data,scitech-link,",39.0,0.1149,0.18,67.0,ml,earthquake,"M 0.9 - 23 km SW of Ocotillo Wells, CA"
2.01,"15 km S of Volcano, Hawaii",1726577971050,1726606489670,,https://earthquake.usgs.gov/earthquakes/eventpage/hv74467612,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=hv74467612&format=geojson,,,,,reviewed,0,62,hv,74467612,",hv74467612,",",hv,",",origin,phase-data,",37.0,0.02187,0.12,137.0,ml,earthquake,"M 2.0 - 15 km S of Volcano, Hawaii"
0.05,"66 km WNW of Beluga, Alaska",1726577097700,1726681774060,,https://earthquake.usgs.gov/earthquakes/eventpage/av93021354,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=av93021354&format=geojson,,,,,reviewed,0,0,av,93021354,",av93021354,av93269298,ak024bzuoc2t,",",av,av,ak,",",origin,phase-data,",10.0,0.07888,0.07,127.0,ml,earthquake,"M 0.1 - 66 km WNW of Beluga, Alaska"
1.9,"61 km WNW of Toyah, Texas",1726576659466,1726583305923,,https://earthquake.usgs.gov/earthquakes/eventpage/tx2024shzu,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=tx2024shzu&format=geojson,,,,,reviewed,0,56,tx,2024shzu,",tx2024shzu,",",tx,",",origin,phase-data,",27.0,0.1,0.2,76.0,ml,earthquake,"M 1.9 - 61 km WNW of Toyah, Texas"
0.05,"24 km WNW of Beluga, Alaska",1726575661810,1726680410990,,https://earthquake.usgs.gov/earthquakes/eventpage/av93269263,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=av93269263&format=geojson,,,,,reviewed,0,0,av,93269263,",av93269263,",",av,",",origin,phase-data,",7.0,0.234,0.16,291.0,ml,earthquake,"M 0.1 - 24 km WNW of Beluga, Alaska"
1.8,"40 km NE of Beatty, Nevada",1726575658098,1726605598405,,https://earthquake.usgs.gov/earthquakes/eventpage/nn00884792,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nn00884792&format=geojson,,,,,reviewed,0,50,nn,00884792,",nn00884792,",",nn,",",origin,phase-data,",37.0,0.103,0.1771,79.63999999999999,ml,earthquake,"M 1.8 - 40 km NE of Beatty, Nevada"
1.8,"40 km NNE of Beatty, Nevada",1726575648103,1726596231154,,https://earthquake.usgs.gov/earthquakes/eventpage/nn00884779,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nn00884779&format=geojson,,,,,reviewed,0,50,nn,00884779,",nn00884779,",",nn,",",origin,phase-data,",11.0,0.099,0.1772,146.13,ml,earthquake,"M 1.8 - 40 km NNE of Beatty, Nevada"
1.25,"14 km SE of Olancha, CA",1726575425610,1726582028114,,https://earthquake.usgs.gov/earthquakes/eventpage/ci40735799,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci40735799&format=geojson,,,,,reviewed,0,24,ci,40735799,",ci40735799,",",ci,",",nearby-cities,origin,phase-data,scitech-link,",24.0,0.08269,0.18,78.0,ml,earthquake,"M 1.3 - 14 km SE of Olancha, CA"
4.6,"12 km SE of Marihatag, Philippines",1726574987235,1727179174040,,https://earthquake.usgs.gov/earthquakes/eventpage/us6000nt2h,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us6000nt2h&format=geojson,,,,,reviewed,0,326,us,6000nt2h,",us6000nt2h,",",us,",",origin,phase-data,",71.0,1.837,0.44,105.0,mb,earthquake,"M 4.6 - 12 km SE of Marihatag, Philippines"
1.06,"7 km NNW of The Geysers, CA",1726574865440,1726577070918,,https://earthquake.usgs.gov/earthquakes/eventpage/nc75063041,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc75063041&format=geojson,,,,,automatic,0,17,nc,75063041,",nc75063041,",",nc,",",nearby-cities,origin,phase-data,scitech-link,",20.0,0.001414,0.02,44.0,md,earthquake,"M 1.1 - 7 km NNW of The Geysers, CA"
1.4,"58 km S of Whites City, New Mexico",1726574655501,1726584356467,,https://earthquake.usgs.gov/earthquakes/eventpage/tx2024shyt,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=tx2024shyt&format=geojson,,,,,reviewed,0,30,tx,2024shyt,",tx2024shyt,",",tx,",",origin,phase-data,",14.0,0.0,0.2,72.0,ml,earthquake,"M 1.4 - 58 km S of Whites City, New Mexico"
0.64,"13 km NW of Aguanga, CA",1726574261980,1726582027114,,https://earthquake.usgs.gov/earthquakes/eventpage/ci40735775,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci40735775&format=geojson,,,,,reviewed,0,6,ci,40735775,",ci40735775,",",ci,",",nearby-cities,origin,phase-data,scitech-link,",21.0,0.06614,0.14,81.0,ml,earthquake,"M 0.6 - 13 km NW of Aguanga, CA"
1.0,"17 km NNE of Hermleigh, Texas",1726574193488,1726587565996,,https://earthquake.usgs.gov/earthquakes/eventpage/tx2024shyl,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=tx2024shyl&format=geojson,,,,,reviewed,0,15,tx,2024shyl,",tx2024shyl,",",tx,",",origin,phase-data,",11.0,0.1,0.1,95.0,ml,earthquake,"M 1.0 - 17 km NNE of Hermleigh, Texas"
4.8,"72 km SSE of Klyuchi, Russia",1726574187300,1726576332040,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000negt,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us7000negt&format=geojson,,,,,reviewed,0,354,us,7000negt,",us7000negt,",",us,",",origin,phase-data,",134.0,3.151,0.87,93.0,mb,earthquake,"M 4.8 - 72 km SSE of Klyuchi, Russia"
1.05,"5 km SW of Volcano, Hawaii",1726574111260,1726607048790,,https://earthquake.usgs.gov/earthquakes/eventpage/hv74467522,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=hv74467522&format=geojson,,,,,reviewed,0,17,hv,74467522,",hv74467522,",",hv,",",origin,phase-data,",10.0,0.01538,0.07,119.0,ml,earthquake,"M 1.1 - 5 km SW of Volcano, Hawaii"
0.38,"10 km NNW of Anza, CA",1726573419180,1726582042432,,https://earthquake.usgs.gov/earthquakes/eventpage/ci40735767,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci40735767&format=geojson,,,,,reviewed,0,2,ci,40735767,",ci40735767,",",ci,",",nearby-cities,origin,phase-data,scitech-link,",21.0,0.03526,0.11,62.0,ml,earthquake,"M 0.4 - 10 km NNW of Anza, CA"
2.61,"3 km S of Tallaboa, Puerto Rico",1726573269100,1726575067430,,https://earthquake.usgs.gov/earthquakes/eventpage/pr71460398,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=pr71460398&format=geojson,,,,,reviewed,0,105,pr,71460398,",pr71460398,",",pr,",",origin,phase-data,",21.0,0.09127,0.23,160.0,md,earthquake,"M 2.6 - 3 km S of Tallaboa, Puerto Rico"
0.6,"1 km WSW of Lima, Montana",1726573022040,1726603570940,,https://earthquake.usgs.gov/earthquakes/eventpage/mb90061668,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=mb90061668&format=geojson,,,,,reviewed,0,6,mb,90061668,",mb90061668,",",mb,",",origin,phase-data,",8.0,0.02507,0.06,88.0,ml,earthquake,"M 0.6 - 1 km WSW of Lima, Montana"
1.26,"10 km S of Fern Forest, Hawaii",1726572611770,1726616299820,,https://earthquake.usgs.gov/earthquakes/eventpage/hv74467477,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=hv74467477&format=geojson,,,,,reviewed,0,24,hv,74467477,",hv74467477,",",hv,",",origin,phase-data,",15.0,0.02028,0.1,153.0,ml,earthquake,"M 1.3 - 10 km S of Fern Forest, Hawaii"
1.41,"36 km SW of Thatcher, Utah",1726572139430,1726578968270,,https://earthquake.usgs.gov/earthquakes/eventpage/uu80082736,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=uu80082736&format=geojson,,,,,reviewed,0,31,uu,80082736,",uu80082736,",",uu,",",origin,phase-data,",21.0,0.1763,0.17,181.0,ml,earthquake,"M 1.4 - 36 km SW of Thatcher, Utah"
1.5,"57 km S of Whites City, New Mexico",1726571423310,1726687792921,,https://earthquake.usgs.gov/earthquakes/eventpage/tx2024shwy,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=tx2024shwy&format=geojson,,,,,reviewed,0,35,tx,2024shwy,",tx2024shwy,",",tx,",",origin,phase-data,",27.0,0.0,0.3,58.0,ml,earthquake,"M 1.5 - 57 km S of Whites City, New Mexico"
1.2,"34 km WSW of Ackerly, Texas",1726571047193,1726580879717,,https://earthquake.usgs.gov/earthquakes/eventpage/tx2024shwt,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=tx2024shwt&format=geojson,,,,,reviewed,0,22,tx,2024shwt,",tx2024shwt,",",tx,",",origin,phase-data,",23.0,0.0,0.1,86.0,ml,earthquake,"M 1.2 - 34 km WSW of Ackerly, Texas"
1.14,"53 km S of Virginia City, Montana",1726570562470,1726585949850,,https://earthquake.usgs.gov/earthquakes/eventpage/mb90061638,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=mb90061638&format=geojson,,,,,reviewed,0,20,mb,90061638,",mb90061638,",",mb,",",origin,phase-data,",20.0,0.176,0.11,66.0,ml,earthquake,"M 1.1 - 53 km S of Virginia City, Montana"
0.8,"46 km E of Fort Bidwell, California",1726570520341,1726720739180,,https://earthquake.usgs.gov/earthquakes/eventpage/nn00884798,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nn00884798&format=geojson,,,,,reviewed,0,10,nn,00884798,",uw62038747,nn00884798,",",uw,nn,",",origin,phase-data,",4.0,0.52,0.1368,211.81,ml,earthquake,"M 0.8 - 46 km E of Fort Bidwell, California"
1.08,"8 km NNW of The Geysers, CA",1726569985850,1726573765519,,https://earthquake.usgs.gov/earthquakes/eventpage/nc75063031,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc75063031&format=geojson,,,,,automatic,0,18,nc,75063031,",nc75063031,",",nc,",",nearby-cities,origin,phase-data,scitech-link,",14.0,0.006177,0.01,78.0,md,earthquake,"M 1.1 - 8 km NNW of The Geysers, CA"
0.2,"9 km N of Lemmon Valley, Nevada",1726569303250,1726617533611,,https://earthquake.usgs.gov/earthquakes/eventpage/nn00884799,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nn00884799&format=geojson,,,,,reviewed,0,1,nn,00884799,",nn00884799,",",nn,",",origin,phase-data,",3.0,0.15,0.0778,219.04,ml,earthquake,"M 0.2 - 9 km N of Lemmon Valley, Nevada"
1.5,"33 km NW of Valdez, Alaska",1726568773323,1726568860761,,https://earthquake.usgs.gov/earthquakes/eventpage/ak024bztdil0,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak024bztdil0&format=geojson,,,,,automatic,0,35,ak,024bztdil0,",ak024bztdil0,",",ak,",",origin,phase-data,",,,0.32,,ml,earthquake,"M 1.5 - 33 km NW of Valdez, Alaska"
1.75,"8 km SSW of Fern Forest, Hawaii",1726568767800,1726568940780,,https://earthquake.usgs.gov/earthquakes/eventpage/hv74467367,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=hv74467367&format=geojson,,,,,automatic,0,47,hv,74467367,",hv74467367,",",hv,",",origin,phase-data,",39.0,0.01509,0.330000013,118.0,ml,earthquake,"M 1.8 - 8 km SSW of Fern Forest, Hawaii"
